Date,year,max_customer,daily_ci,daily_ci_3day_avg,customer_minutes,total_min,total_max,rolling_max_customer,rolling_daily_ci,rolling_daily_ci_3_day_avg,rolling_customer_minutes,saifi_max_method_min,saifi_max_method_max,saifi_sum_method_min,saifi_sum_method_max,saifi_moving_avg_min,saifi_moving_avg_max,saidi_max,saidi_min,caidi_max_method,caidi_sum_method,caidi_moving_avg_method
2019-03-25,2019,286861,348793,316866,31880475,124059690,142667100,174394947,218732505,218693949,42911227170,1.40573418327903,1.22239077544858,1.76312309824408,1.53316710720271,1.76281231236351,1.53289685568712,345.891781367501,300.778716116049,246.057743691393,196.181299939851,196.215886933387
2019-03-26,2019,286115,354417,368528,39050955,124059690,142667100,174418773,218729218,218708590,42923994255,1.40592623599172,1.22255777961422,1.76309660293364,1.53314406755307,1.76293032813479,1.53299947920719,345.994692192121,300.868204757789,246.097329528858,196.242617458633,196.261126529141
2019-03-27,2019,336640,402374,346063.666666667,43400220,124059690,142667100,174376061,218664047,218604442.666667,42936346170,1.40558195010805,1.22225839734599,1.76257128322665,1.53268726286579,1.76209083439324,1.53226947675159,346.094256482504,300.954783338275,246.228443994959,196.357594030993,196.411132574604
2019-03-28,2019,212585,281400,331774,28408275,124059690,142667100,174207914,218420063,218468845.333333,42905580795,1.40422657835111,1.22107980045855,1.76060461701944,1.53097709983591,1.76099783365034,1.53131903104033,345.84626799406,300.739138841401,246.289504362012,196.436079203036,196.392216608899
2019-03-29,2019,246707,311548,321460.333333333,43302540,124059690,142667100,174129340,218322426,218373698.333333,42895851450,1.40359322194018,1.22052904979494,1.75981760070495,1.53029273041928,1.76023088831943,1.53065211484171,345.76784328576,300.67094270508,246.344765620774,196.479364195046,196.433232469792
2019-03-30,2019,305279,371433,338103,46947135,124059690,142667100,174199484,218378606,218438924,42927075105,1.40415862718986,1.22102071185298,1.76027044723391,1.53068651426993,1.76075664867452,1.53110930270539,346.019525802458,300.889799435189,246.424812056275,196.571797445213,196.517517660909
2019-03-31,2019,308081,331328,338636.666666667,50294145,124059690,142667100,174372754,218615740,218572366,42955191495,1.40555529358489,1.22223521750985,1.7621818980847,1.53234866342696,1.76183227606002,1.5320446409859,346.24616178712,301.08687633659,246.341188687081,196.487185666503,196.526177032828
2019-04-01,2019,250907,313149,334411,27725565,124059690,142667100,174439254,218722752,218733441.333333,42962159250,1.40609132587708,1.22270133758939,1.76304448286144,1.53309874526082,1.76313064568623,1.53317367026689,346.302326323724,301.135715592453,246.28722185432,196.422909172247,196.413310137287
2019-04-02,2019,278295,358756,371233.666666667,33772965,124059690,142667100,174535169,218861832,218781169,42972454875,1.40686446177642,1.22337363694923,1.76416555611255,1.53407360211289,1.76351536103306,1.53350820897039,346.385315608962,301.207880969053,246.210864671062,196.345130086456,196.417521084733
2019-04-03,2019,338011,441796,432390.666666667,48943845,124059690,142667100,174527220,218758923,218771526,42965512560,1.40680038778108,1.22331791982875,1.76333604412521,1.53335227953747,1.76343763232038,1.5334406180542,346.329356134938,301.159220030406,246.18230073223,196.405760143553,196.394445591608
2019-04-04,2019,384987,496620,425592.333333333,52652400,124059690,142667100,174440350,218693823,218737811.333333,42952321995,1.40610016033411,1.22270901980905,1.76281129672338,1.53289597251223,1.76316587066543,1.53320430101497,346.223031792196,301.066763079925,246.229281212747,196.403910297,196.364413327448
2019-04-05,2019,262887,338361,419207.333333333,34101210,124059690,142667100,174494449,218760688,218737581.666667,42961995240,1.40653623267961,1.22308821725541,1.7633502711477,1.53336465099522,1.76316401940603,1.53320269120678,346.301004298818,301.134565993141,246.208377895162,196.388097115511,196.408842562179
2019-04-06,2019,343684,422641,440572.666666667,44838780,124059690,142667100,174529386,218758234,218779451.333333,42974195355,1.40681784711859,1.22333310202562,1.76333049034703,1.53334745011288,1.76350151554734,1.53349616928734,346.39934498466,301.220080558166,246.228995242096,196.446070025414,196.427018593827
2019-04-07,2019,427668,560716,500810,70786545,124059690,142667100,174592480,218819432,218828021.666667,42987211230,1.40732642488467,1.2237753483459,1.76382378514729,1.5337764067539,1.76389302332342,1.53383661451496,346.504261214904,301.31131304975,246.214563364928,196.450611525214,196.442900240084
2019-04-08,2019,414180,519073,549748.666666666,58754400,124059690,142667100,174626402,218906399,218880270.666667,42996545415,1.40759985777814,1.22401311865174,1.76452479447595,1.53438598667808,1.76431418349237,1.53420284471099,346.579500682293,301.376739381399,246.220187340286,196.415205820457,196.438652437887
2019-04-09,2019,445010,569457,529485.666666668,57505890,124059690,142667100,174630985,218914981,220375705.666667,43003507200,1.4076367996728,1.22404524238595,1.76459397085387,1.53444614070097,1.77636834064849,1.54468483390121,346.635617096899,301.425536791594,246.253591251289,196.439307184738,195.137241057986
2019-04-10,2019,375757,499927,566093.333333333,69429930,124059690,142667100,175295666,223305737,222473899,43416020295,1.4129945512519,1.22870420720685,1.79998625661567,1.56522237432456,1.79328111330925,1.55939175184748,349.960734989746,304.316974936758,247.673095893883,194.42411501949,195.151073856983
2019-04-11,2019,459248,628896,524382,104962155,124059690,142667100,175324939,225200979,224303633.666667,43765633065,1.41323051024874,1.22890939116306,1.8152631124582,1.57850674051691,1.80802993838423,1.57221695588308,352.778836260191,306.767524292566,249.625827989023,194.340332175021,195.117806829823
2019-04-12,2019,376650,444323,662758,75626025,124059690,142667100,173541639,224404185,224343799.333333,42747004350,1.39885597811828,1.21640966277439,1.80884044607882,1.57292175280776,1.80835369920184,1.57249849007468,344.568040997039,299.627625079643,246.321312834898,190.491119183005,190.54239286768
2019-04-13,2019,637684,915055,812442.666666667,149868450,124059690,142667100,171821200,223426234,223653083.666667,41009403945,1.38498814562571,1.20435054753338,1.80095753906849,1.56606697689937,1.80278609165206,1.56765703982675,330.561876665982,287.448219982042,238.674877983625,183.547845795942,183.361674575078
2019-04-14,2019,842236,1077950,1046037,232865430,124059690,142667100,170935569,223128832,223215115,40077769980,1.3778493965284,1.19814287246324,1.79856028980888,1.56398238977311,1.79925578566253,1.56458717531933,323.052314414134,280.918095202047,234.461266396814,179.617172826863,179.547742454627
2019-04-15,2019,878026,1145106,854455.666666667,251352780,124059690,142667100,170502638,223090279,223006970.333333,39575267670,1.37435969733602,1.19510831859623,1.79824952811022,1.5637121592855,1.79757800727483,1.5631282218068,319.001826217686,277.395893447053,232.109415632619,177.395751385474,177.46202107874
2019-04-16,2019,278820,340311,631226.666666667,49653285,124059690,142667100,170098274,222801800,222895238.333333,39155438730,1.37110026633147,1.19227400010234,1.79592420390539,1.5616901163618,1.79667737629631,1.56234505596128,315.61773796146,274.453176170259,230.193039642483,175.741123859861,175.667452668703
2019-04-17,2019,327332,408263,523561.333333333,37944645,124059690,142667100,169931367,222793636,223125849.333333,38924491095,1.36975488976315,1.19110409477728,1.79585839687331,1.56163289223654,1.79853624761865,1.56396148329456,313.756153146925,272.834389253023,229.060071617031,174.710964791651,174.450836652502
2019-04-18,2019,624653,822110,854911.666666666,125751870,124059690,142667100,170515035,223782112,223458051,39273860550,1.37445962504017,1.19519521319211,1.80382614207725,1.56856144128534,1.80121400432324,1.56628999257713,316.572293143728,275.283233135039,230.324912697581,175.500446389567,175.754958813276
2019-04-19,2019,984133,1334362,863757.333333334,228614490,124059690,142667100,170608373,223798405,223825648.333333,39307043460,1.37521198868061,1.1958494495227,1.80395747401916,1.56867564420949,1.80417707261185,1.56886660157341,316.839768501759,275.515822919229,230.393401969785,175.635941015755,175.614563177594
2019-04-20,2019,385568,434800,673887.333333334,79499775,124059690,142667100,170663136,223896428,223669144,39287480340,1.37565341328839,1.19623330116053,1.80474760173913,1.56936271922539,1.80291554815267,1.56776961191473,316.682077312945,275.378698662831,230.204842479866,175.471670945997,175.649978523636
2019-04-21,2019,207634,252500,356579.666666667,28157280,124059690,142667100,170214989,223312599,223671826.333333,39090210675,1.37204106345905,1.19309209341187,1.80004156869971,1.56527047230931,1.80293716946523,1.56778841325949,315.091958354885,273.995971565974,229.651988374537,175.04704548712,174.765911808422
2019-04-22,2019,303642,382439,357123,33440730,124059690,142667100,170359397,223806452,223696872.666667,39055441980,1.37320508377862,1.1941042959449,1.80402233795683,1.56873204824378,1.80313905884068,1.56796397113747,314.811700561238,273.752266500125,229.253229746992,174.505433739685,174.590916334342
