Date,Year,CI,CMI,total_customers,rolling_CI,rolling_CMI,SAIFI,CAIDI,SAIDI
2007-04-08,2007,167707,17950988.542,85436085,101161316,15839026262.6956,1.18405842215265,156.571967318966,185.390356577032
2007-04-09,2007,178922,15399906.4616,85436085,101239333,15843803242.6316,1.18497158431358,156.498494934094,185.446269484745
2007-04-10,2007,188218,15505088.4581,85436085,101370389,15861012023.7461,1.18650554973346,156.46592836638,185.647692350909
2007-04-11,2007,340340,47110863.8107,85436085,101524121,15875908656.7261,1.18830492993681,156.375731209001,185.822052318129
2007-04-12,2007,345331,52730265.751,85436085,101497435,15867265133.5475,1.18799257948208,156.331685953911,185.720882851169
2007-04-13,2007,182000,16400493.477,85436085,101511053,15855257418.0627,1.18815197348989,156.192423873908,185.580336669953
2007-04-14,2007,232643,23210200.5868,85436085,101400896,15839036771.9191,1.18686262367944,156.20213821305,185.39047958388
2007-04-15,2007,568862,272441122.4582,85436085,101446928,15839974101.7069,1.18740141241257,156.140500397478,185.40145070677
2007-04-16,2007,1042476,479044863.29916,85436085,101421442,15833307716.3984,1.18710310754525,156.114007099193,185.323422958793
2007-04-17,2007,317648,71686235.2034,85436085,101341256,15825831083.1941,1.18616455798507,156.163755096879,185.235911537778
2007-04-18,2007,241184,32889895.92502,85436085,101037505,15790684584.2929,1.18260925696677,156.285377239797,184.824533852328
2007-04-19,2007,176460,15029153.0608,85436085,101399028,15852308428.7863,1.18684075938171,156.33590125525,185.545819764404
2007-04-20,2007,177566,19074321.8203,85436085,101598217,15889182577.838,1.18917219814087,156.392336863923,185.977419000859
2007-04-21,2007,180647,15963531.8562,85436085,101421975,15852470247.1314,1.18710934612699,156.302125324728,185.547713792496
2007-04-22,2007,205833,25917291.76,85436085,101641538,15945511571.0118,1.18967925555109,156.879872980786,186.636730498732
2007-04-23,2007,280405,28054040.4452,85436085,102140806,16149845830.4936,1.19552301583107,158.113553857149,189.028392751067
2007-04-24,2007,259310,26862821.08468,85436085,102331136,16190191242.346,1.19775076304117,158.213735087882,189.500621925103
2007-04-25,2007,366358,32175108.1496,85436085,102491134,16215444459.9192,1.19962348462011,158.213143196554,189.79620215415
2007-04-26,2007,277207,24212442.91018,85436085,102570481,16228054350.6311,1.20055221397376,158.213690648785,189.943796589358
2007-04-27,2007,236887,23399918.48102,85436085,102603384,16228892517.7724,1.20093733227593,158.171123457023,189.953607047565
2007-04-28,2007,242498,24450640.5972,85436085,102419919,16219028673.7226,1.19878993753049,158.358147829843,189.838154144383
2007-04-29,2007,178088,16682594.37652,85436085,101966863,16129657424.2848,1.19348707282175,158.185286373719,188.79209439764
2007-04-30,2007,247303,22580803.9886,85436085,101815295,16108759537.8313,1.19171302149437,158.215517008827,188.547491821884
2007-05-01,2007,276561,27769051.4408,85436085,101817351,16104654314.0583,1.19173708626747,158.172002668369,188.499441589093
2007-05-02,2007,277977,24060985.0073,85436085,101810669,16102170431.8859,1.1916588757549,158.157986682966,188.470368602282
2007-05-03,2007,307219,33101071.5158,85436085,101720990,16097311296.815,1.19060921389364,158.249652277421,188.413494096962
2007-05-04,2007,208051,19249562.36788,85436085,101633329,16089288912.3598,1.18958317202854,158.30721152861,188.319594845197
2007-05-05,2007,219769,20773452.87168,85436085,101632810,16089313153.9024,1.18957709731198,158.308258463998,188.319878584119
2007-05-06,2007,310027,38616028.0861,85436085,101532339,16075395799.9808,1.18840111880127,158.327838778351,188.156980741578
2007-05-07,2007,260653,27041912.4683,85436085,101651672,16098462310.3086,1.18979787053679,158.368888514777,188.426966314159
2007-05-08,2007,246395,26546015.378,85436085,101727500,16110147132.817,1.19068541120535,158.365703795109,188.563733144104
2007-05-09,2007,248010,23725035.6332,85436085,101680457,16104738390.8858,1.19013478906483,158.38577899867,188.500425679451
2007-05-10,2007,198110,23092162.413,85436085,101642215,16103493762.6423,1.18968717960333,158.433125081368,188.485857733794
2007-05-11,2007,207690,21604785.08076,85436085,101631763,16104012343.3301,1.18956484253697,158.454521184781,188.491927542444
2007-05-12,2007,242452,30283721.2924,85436085,101540274,16101575735.5274,1.18849399524803,158.573294134773,188.463407885877
2007-05-13,2007,200478,19571112.6428,85436085,101509285,16098884431.9744,1.18813127965777,158.595190892877,188.431907103122
2007-05-14,2007,219952,19847714.1228,85436085,101398743,16074981480.9624,1.1868374235547,158.532354596964,188.15213127992
2007-05-15,2007,464681,74094754.27718,85436085,101348645,16054725028.9683,1.18625104368956,158.410850277952,187.915036473971
2007-05-16,2007,520872,71958315.0778,85436085,101357570,16058430902.3176,1.18635550774594,158.433463848015,187.958412447359
2007-05-17,2007,234595,20866386.957,85436085,101168021,15942313855.4224,1.18413690187232,157.582541378589,186.599302337208
2007-05-18,2007,173536,16897916.17182,85436085,100968091,15914699011.6068,1.18179678996293,157.621074678007,186.276080084976
2007-05-19,2007,176047,20832025.7178,85436085,100956747,15909416489.0878,1.18166401234326,157.586461151406,186.214249975146
2007-05-20,2007,213753,20700137.03524,85436085,101018989,15920820428.7628,1.18239253355301,157.602254649003,186.3477291681
2007-05-21,2007,210908,18252986.577,85436085,101118042,15923521784.7751,1.18355191486127,157.474585838748,186.379347611435
2007-05-22,2007,232368,19729456.0695,85436085,101148543,15923320255.7463,1.18390891857931,157.425107504972,186.376988783443
