Date,Year,CI,CMI,total_customers,rolling_CI,rolling_CMI,SAIFI,CAIDI,SAIDI
2012-02-04,2012,146855,16566395.58731,90026497,129278627,66255041682.603,1.43600641264538,512.498030185632,735.950457814692
2012-02-05,2012,109531,14895929.535632,90026497,129598129,66322590105.367,1.43955539000923,511.755768521681,736.700774943703
2012-02-06,2012,144537,11063619.998219,90026497,129508874,66301686255.6655,1.43856395967512,511.947052027227,736.46857830829
2012-02-07,2012,111062,9983642.70028,90026497,129413399,66285812196.3296,1.43750343857098,512.202080376001,736.292251783712
2012-02-08,2012,103316,8483846.670876,90026497,129374132,66270737053.6572,1.43706726698474,512.241017807619,736.124799498277
2012-02-09,2012,104347,10756651.2685,90026497,129540878,66297313027.8399,1.43891945501334,511.786812405578,736.420001189649
2012-02-10,2012,121524,10252512.195926,90026497,129836873,66321257805.0603,1.44220732036258,510.804490840289,736.685975963946
2012-02-11,2012,228749,37881374.557909,90026497,129829018,66315889780.099,1.44212006827279,510.794048986021,736.626348797055
2012-02-12,2012,138496,19417373.65762,90026497,129471662,66092710888.0065,1.4381506147018,510.480130300687,734.147313184989
2012-02-13,2012,144278,17755680.911164,90026497,129174678,66033472206.3766,1.43485176369797,511.195175623945,733.489299337912
2012-02-14,2012,165544,14845544.8369,90026497,129208291,66031751847.3367,1.4352251315521,511.048875705172,733.470189863509
2012-02-15,2012,144116,13173918.7757,90026497,129302205,66042015810.3255,1.43626831331669,510.757073402774,733.584200330771
2012-02-16,2012,142749,14400805.604909,90026497,129413686,66059107076.3545,1.4375066265213,510.449158185283,733.774047393564
2012-02-17,2012,109130,9704627.87861,90026497,129221084,66009917753.6914,1.43536723415996,510.829314461496,733.227660226427
2012-02-18,2012,223044,28882923.494148,90026497,129155064,65981084591.5492,1.43463389450775,510.867189780102,732.907386050456
2012-02-19,2012,331978,277146588.591486,90026497,128974521,65909617708.6911,1.43262845159909,511.028203071916,732.113543290384
2012-02-20,2012,191235,48789461.2057,90026497,128679426,65850770963.0097,1.4293505833066,511.742809320658,731.459883005442
2012-02-21,2012,162603,22664118.874383,90026497,128657385,65848694668.1729,1.42910575538666,511.814340608376,731.436819852859
2012-02-22,2012,262882,36207628.69043,90026497,128560670,65834793925.2527,1.42803146055988,512.091247854049,731.282412612952
2012-02-23,2012,294771,27582392.75517,90026497,128125604,65752315706.4345,1.42319881667727,513.18638627791,730.366257685607
2012-02-24,2012,491765,61774302.3979,90026497,127672372,65628808410.8611,1.41816438775797,514.040801332187,728.994358303879
2012-02-25,2012,373960,41798705.26624,90026497,127411759,65438039022.71,1.41526954003331,513.594973778755,726.875322303277
2012-02-26,2012,124095,15056648.71473,90026497,124180465,59746494506.2101,1.37937684057617,481.12635514942,663.654551683935
2012-02-27,2012,112227,10642629.3659,90026497,119337844,51786236382.6916,1.32558577726289,433.946472023507,575.233271407768
2012-02-28,2012,212349,26634034.5504,90026497,118668730,50836092503.7591,1.31815336544751,428.386589321038,564.679224426105
2012-02-29,2012,506271,72081597.05604,90026497,118510658,50425145118.5451,1.31639752683035,425.490381789502,560.114486277802
2012-03-01,2012,158582,17670459.63987,90026497,118501661,50264882854.6139,1.31629758958632,424.170281078287,558.334318557501
2012-03-02,2012,461956,247132216.96742,90026497,118370938,50250134893.8505,1.31484553930828,424.514122662866,558.170500556636
2012-03-03,2012,390988,181574181.876873,90026497,118312359,50240078343.7826,1.31419485309975,424.639308762177,558.058793999089
2012-03-04,2012,138966,18032801.907905,90026497,117879823,49935518795.2236,1.30939031205446,423.613791778629,554.675795007592
2012-03-05,2012,199503,33286529.77832,90026497,117643741,49882844996.2794,1.30676795077343,424.016140359557,554.090702832516
2012-03-06,2012,268667,25423826.53284,90026497,117536307,49852288882.5321,1.30557459100069,424.14374038936,553.751290384343
2012-03-07,2012,239359,23722579.56117,90026497,117325344,49809271229.7535,1.3032312475737,424.539741641444,553.273457143996
2012-03-08,2012,357344,40273588.53148,90026497,117127921,49746691998.1217,1.30103830431167,424.721036396793,552.578336999181
2012-03-09,2012,197785,17996102.617529,90026497,117167445,49756072918.3631,1.30147733061301,424.657829812394,552.682538768148
2012-03-10,2012,142847,12863594.00978,90026497,117642482,49893519356.6338,1.30675396600181,424.111413737716,554.209271928394
2012-03-11,2012,128001,14004108.62453,90026497,117529370,49867468616.5753,1.30549753590879,424.297931798454,553.919904454078
2012-03-12,2012,480228,97083146.9532,90026497,117501812,49862619535.2785,1.30519142603094,424.356175335224,553.866041630816
2012-03-13,2012,327231,81398129.19615,90026497,117434219,49857463527.099,1.30444061374508,424.556521528865,553.808769512591
2012-03-14,2012,174370,17409556.702398,90026497,117304145,49845207970.1995,1.30299577245575,424.922818969436,553.672636737154
2012-03-15,2012,244288,31645398.889049,90026497,117297110,49838859405.9436,1.30291762879544,424.894180307968,553.602117895841
2012-03-16,2012,203211,26537367.176843,90026497,117223025,49827104090.9232,1.30209470440686,425.062431983163,553.471541727578
2012-03-17,2012,255079,31239914.772689,90026497,117198657,49827920687.3379,1.30182402854129,425.157778790399,553.480612350582
