Year,Date,RegionCode,RegionName,NERC,UtilitiesWithOutage,Outages,CI,CMI
2023,2023-06-15,6,South,SPP RE,2,283,25011,25003375
2023,2023-06-14,3,Southeast,SERC,1,443,19212,41538450
2023,2023-06-14,6,South,SERC,1,556,35973,8678656
2023,2023-06-10,3,Southeast,SERC,1,309,17142,9830599
2023,2023-06-10,6,South,SPP RE,1,524,42852,28564958
2023,2023-06-08,4,Midwest,MRO,1,3,35,3177.6
2023,2023-06-08,5,Southwest,SPP RE,1,65,4202,5377696.01
2023,2023-06-03,2,Mid-Atlantic,RFC,1,170,16415,5180971
2023,2023-06-03,6,South,SPP RE,1,416,29226,16485729
2023,2023-05-31,4,Midwest,RFC,1,193,36321,20392213.92
2023,2023-05-24,5,Southwest,SPP RE,1,88,5400,2281493.75
2023,2023-05-23,6,South,SERC,1,132,19733,13220988
2023,2023-05-13,6,South,TRE,1,608,42575,10352858
2023,2023-05-09,3,Southeast,SERC,1,86,5669,19595800
2023,2023-05-09,6,South,TRE,1,459,32575,7599532
2023,2023-05-08,6,South,SERC,1,273,19674,7328585
2023,2023-05-07,4,Midwest,SERC,1,610,44551,15471026
2023,2023-05-06,6,South,SERC,1,368,29934,6019452
2023,2023-05-02,3,Southeast,SERC,1,70,4330,17400474
2023,2023-05-01,6,South,TRE,1,404,7480,5793621
2023,2023-04-30,6,South,TRE,1,317,13671,10806788
2023,2023-04-29,6,South,TRE,1,1147,177007,148962914
2023,2023-04-27,3,Southeast,FRCC,1,506,35334,5755392.88
2023,2023-04-23,6,South,TRE,1,590,60407,13215958
2023,2023-04-22,2,Mid-Atlantic,RFC,2,488,36031,14983225
2023,2023-04-20,4,Midwest,MRO,1,85,10865,2442275
2023,2023-04-19,4,Midwest,MRO,1,49,2128,403460.8
2023,2023-04-17,4,Midwest,MRO,1,100,3863,1443997.21
2023,2023-04-16,4,Midwest,MRO,1,81,6438,3617339.63
2023,2023-04-15,4,Midwest,SERC,1,279,19693,7869836
2023,2023-04-15,6,South,SERC,1,521,54053,20135998
2023,2023-04-02,2,Mid-Atlantic,RFC,1,75,792,1763339
2023,2023-04-02,6,South,SPP RE,1,304,23406,14696729
2023,2023-04-01,1,Northeast,NPCC,1,223,17818,10525817
2023,2023-04-01,2,Mid-Atlantic,RFC,16,7603,726236,507919202.3
2023,2023-04-01,4,Midwest,MRO,2,1362,125301,66729387.4
2023,2023-04-01,4,Midwest,RFC,1,487,21136,9094112.42
2023,2023-03-31,4,Midwest,MRO,1,228,23774,12398199.66
2023,2023-03-31,4,Midwest,RFC,4,1337,142362,91941786.94
