Year,Date,RegionCode,RegionName,NERC,UtilitiesWithOutage,Outages,CI,CMI
2023,2023-03-03,3,Southeast,SERC,1,616,26307,7949978
2023,2023-03-03,4,Midwest,RFC,4,4708,249325,248947991.1
2023,2023-03-03,4,Midwest,SERC,1,697,50607,11763236
2023,2023-03-02,6,South,TRE,1,379,37656,7364334
2023,2023-02-28,4,Midwest,RFC,1,1155,26615,23145837
2023,2023-02-28,5,Southwest,WECC,1,601,95137,132853864
2023,2023-02-28,7,Northwest,WECC,1,156,40090,12844476.46
2023,2023-02-27,4,Midwest,RFC,2,2707,114555,107298801.7
2023,2023-02-27,5,Southwest,WECC,1,502,78825,124794180
2023,2023-02-26,5,Southwest,SPP RE,1,421,54943,14820142.45
2023,2023-02-26,5,Southwest,WECC,1,214,30727,33699848
2023,2023-02-26,6,South,SPP RE,1,87,15638,4016317
2023,2023-02-25,5,Southwest,WECC,1,330,52342,30048527
2023,2023-02-24,4,Midwest,RFC,2,1542,47994,72695129.11
2023,2023-02-24,5,Southwest,WECC,1,1064,250831,220626749
2023,2023-02-23,4,Midwest,RFC,3,5855,331926,652396925.9
2023,2023-02-23,5,Southwest,WECC,1,445,95825,80149789
2023,2023-02-23,7,Northwest,,1,49,865,1733355.59
2023,2023-02-22,4,Midwest,RFC,4,8212,639631,1469342592
2023,2023-02-22,5,Southwest,WECC,1,127,54362,2712086
2023,2023-02-21,2,Mid-Atlantic,RFC,1,199,13016,4504859
2023,2023-02-21,5,Southwest,WECC,2,973,369744,210725942
2023,2023-02-20,7,Northwest,WECC,1,120,67659,16840859.04
2023,2023-02-19,5,Southwest,WECC,1,62,73499,31175249
2023,2023-02-09,2,Mid-Atlantic,RFC,1,322,23366,4826433.34
2023,2023-02-09,4,Midwest,RFC,1,236,28076,4858951.02
2023,2023-02-03,6,South,SERC,1,625,14311,11499170
2023,2023-02-02,3,Southeast,SERC,1,548,18628,15873547
2023,2023-02-01,3,Southeast,SERC,1,117,6546,9783048
2023,2023-02-01,6,South,SERC,2,371,18269,21665555
2023,2023-01-27,4,Midwest,MRO,1,2,1972,878218.125
2023,2023-01-25,6,South,SERC,2,2772,45399,47111105
2023,2023-01-24,6,South,SERC,2,663,50556,37826141
2023,2023-01-24,6,South,SPP RE,1,232,27746,15962859
2023,2023-01-23,1,Northeast,NPCC,1,310,32480,20146123
2023,2023-01-14,5,Southwest,WECC,1,433,117194,32957579
2023,2023-01-10,5,Southwest,WECC,1,1026,326995,182167018
2023,2023-01-09,5,Southwest,WECC,1,691,196666,88228559
2023,2023-01-09,7,Northwest,WECC,1,207,51103,12177700
2023,2023-01-08,5,Southwest,WECC,1,639,143679,88901361
2023,2023-01-07,5,Southwest,WECC,1,634,188145,99167610
2023,2023-01-05,5,Southwest,WECC,1,502,94601,41990563
2023,2023-01-04,5,Southwest,WECC,1,1491,449677,387342969
2023,2023-01-04,7,Northwest,WECC,1,190,66599,15622877
2023,2023-01-02,5,Southwest,WECC,1,188,18759,26434226.4
2023,2023-01-01,5,Southwest,WECC,1,359,19099,28597767
2022,2022-12-31,5,Southwest,WECC,2,1200,415734,325473108.2
2022,2022-12-28,5,Southwest,WECC,1,338,41410,9674011.59
2022,2022-12-28,7,Northwest,,1,28,7163,1831453.59
2022,2022-12-27,0,Multiple or Unknown,WECC,1,609,96123,48040454.31
2022,2022-12-27,7,Northwest,,1,57,27872,20515961.69
2022,2022-12-27,7,Northwest,WECC,2,2055,223350,143133595.2
2022,2022-12-26,0,Multiple or Unknown,WECC,1,111,23913,10671840.96
2022,2022-12-26,7,Northwest,,1,27,4384,1188007.15
2022,2022-12-26,7,Northwest,WECC,1,316,95893,25194677
